Title,Primary Author,Publication,Date,Media,Page Count,Collections,ISBN,ISBNs,Copies
Manga in Theory and Practice: The Craft of Creating Manga (1),"Araki, Hirohiko","VIZ Media LLC (2017), 280 pages",2017,Hardcover,280 ,Your library,[1421594072],"[1421594072, 9781421594071]",1
"JoJo's Bizarre Adventure: Part 1--Phantom Blood, Vol. 3 (3)","Araki, Hirohiko","VIZ Media LLC (2015), Edition: Illustrated, 352 pages",2015,Hardcover,352 ,Your library,[1421578816],"[1421578816, 9781421578811]",1
"JoJo's Bizarre Adventure: Part 3--Stardust Crusaders, Vol. 1 (1)","Araki, Hirohiko","VIZ Media LLC (2016), Edition: Illustrated, 320 pages",2016,Hardcover,320 ,Your library,[1421590654],"[1421590654, 9781421590653]",1
"JoJo's Bizarre Adventure: Part 3--Stardust Crusaders, Vol. 2 (2)","Araki, Hirohiko","VIZ Media LLC (2017), Edition: Deluxe, 272 pages",2017,Hardcover,272 ,Your library,[142159157X],"[142159157X, 9781421591575]",1
"JOJOS BIZARRE ADV PHANTOM BLOOD HC VOL 02 (JoJo's Bizarre Adventure: Part 1--Phantom Blood, Band 2)","Araki, Hirohiko","Viz LLC (2015), Edition: Illustrated, 256 pages",2015,Hardcover,256 ,Your library,[1421578808],"[1421578808, 9781421578804]",1
"JoJo's Bizarre Adventure: Part 1--Phantom Blood, Vol. 1 (1)","Araki, Hirohiko","VIZ Media LLC (2015), Edition: Illustrated, 256 pages",2015,Hardcover,256 ,Your library,[1421578794],"[1421578794, 9781421578798]",1
"GOD OF SMALL THINGS, THE","Arundhati, Roy","HARPER COLLINS (1998), Edition: New Ed, 339 pages",1998,Paperback,339 ,Your library,[9780006550686],"[9780006550686, 0006550681]",1
"I, ROBOT",Asimov,"HarperVoyager (2018), 256 pages",2018,Paperback,256 ,Your library,[9780008279554],"[9780008279554, 0008279551]",1
Handmaid's Tale,Atwood,"Vintage Books USA (2010), 336 pages",2010,Paperback,336 ,Your library,[0099511665],"[0099511665, 9780099511663]",1
The Blind Assassin,"Atwood, Margaret","Time Warner Books Uk (2001), Edition: New Ed, 656 pages",2001,Paperback,656 ,Your library,[9781860498800],"[9781860498800, 1860498809]",1
Oryx And Crake,"Atwood, Margaret","Virago Press Ltd (2004), Edition: Reprint., 436 pages",2004,Paperback,436 ,Your library,[1844080285],"[1844080285, 9781844080281]",1
In Other Worlds: SF and the Human Imagination,"Atwood, Margaret","Nan A. Talese (2011), Edition: First Edition, 272 pages",2011,Hardcover,272 ,Your library,[0385533969],"[0385533969, 9780385533966]",1
"The Testaments (2019): The Sequel to The Handmaid's Tale (Gilead, 2)","Atwood, Margaret","Random House UK Ltd (2019), Edition: 1, 432 pages",2019,Hardcover,432 ,Your library,[1784742325],"[1784742325, 9781784742324]",1
Dearly: Poems,"Atwood, Margaret","Chatto & Windus (2020), Edition: 01, 144 pages",2020,Hardcover,144 ,Your library,[1784743895],"[1784743895, 9781784743895]",1
The Complete Novels (Penguin Classics Deluxe Edition),"Austen, Jane","Penguin Classics (2006), Edition: Deluxe Paperback, 1278 pages",2006,Paperback,1278 ,Your library,[0143039504],"[0143039504, 9780143039501]",1
Halo: Evolutions Volume II: Essential Tales of the Halo Universe,"Authors, Various","Tor Books (2010), Edition: Reprint, 368 pages",2010,Paperback,368 ,Your library,[0765366959],"[0765366959, 9780765366955]",1
Atlas Shrugged[ATLAS SHRUGGED 35/E][Paperback],AynRand,"PlumeBooks (1999), Edition: Reprint.",1999,Paperback,,Your library,,,1
Guide to Radio Production,"Baird, Lois",Allen & Unwin (Australia) Pty Ltd (1992),1992,Paperback,,Your library,[0642168938],"[0642168938, 9780642168931]",1
The Sense of an Ending,"Barnes, Julian","Jonathan Cape (2011), Edition: 1st Edition, 150 pages",2011,Hardcover,150 ,Your library,[0224094157],"[0224094157, 9780224094153]",1
The Wizard of Oz (Puffin Classics),"Baum, L. Frank","Puffin Books (2008), 224 pages",2008,Paperback,224 ,Your library,[0141321024],"[0141321024, 9780141321028]",1
Classic Fairy Tales: From Hans Christian Andersen and the Brothers Grimm,"Baxter, Nicola","Bookmart (1999), 192 pages",1999,Hardcover,192 ,Your library,[1900465922],"[1900465922, 9781900465922]",1
Halo: Cryptum: Book One of the Forerunner Saga,"Bear, Greg","Tor Books (2011), Edition: First, 352 pages",2011,Hardcover,352 ,Your library,[0765323966],"[0765323966, 9780765323965]",1
Primordium,"Bear, Greg","Tor Books (2012), 352 pages",2012,Paperback,,Your library,[0230758290],"[0230758290, 9780230758292]",1
Halo: Silentium: Book Three of the Forerunner Trilogy,"Bear, Greg","Tor (2013), Edition: Main Market Ed.",2013,Paperback,,Your library,[0230758320],"[0230758320, 9780230758322]",1
Twelve Kings: The Song of the Shattered Sands,"Beaulieu, Bradley","Gollancz (2016), 608 pages",2016,Paperback,608 ,Your library,[1473203023],"[1473203023, 9781473203020]",1
With Blood Upon the Sand (Song of Shattered Sands),"Beaulieu, Bradley P.","DAW (2017), 672 pages",2017,Hardcover,672 ,Your library,[0756409748],"[0756409748, 9780756409746]",1
A Veil of Spears (Song of Shattered Sands),"Beaulieu, Bradley P.","DAW (2018), 592 pages",2018,Hardcover,592 ,Your library,[0756409764],"[0756409764, 9780756409760]",1
The Second Sex,"Beauvoir, Simone de","Random House Uk (1900), 800 pages",1900,Paperback,800 ,Your library,[9780099499381],"[9780099499381, 009949938X]",1
The Norse Myths: Stories of The Norse Gods and Heroes Vividly Retold,"Birkett, Dr. Tom","Quercus Publishing (2022), 336 pages",2022,Paperback,336 ,Your library,[1786488817],"[1786488817, 9781786488817]",1
Weapons of Choice: World War 2 . 1,"Birmingham, John","Macmillan (2004), Edition: Reprint, 544 pages",2004,Paperback,544 ,Your library,[0732911990],"[0732911990, 9780732911997]",1
Designated Targets World War 2.2,"Birmingham, John",Macmillan & Co Ltd (2005),2005,Paperback,384 ,Your library,[1405036834],"[1405036834, 9781405036832]",1
Final Impact World War 2.3,"Birmingham, John","MacMillan (1935), Edition: 1st",1935,Paperback,,Your library,[1405037253],"[1405037253, 9781405037259]",1
After America,"Birmingham, John","Sydney : Macmillan, 2011.",2011,Paper Book,20 ,Your library,[9780330404129],"[9780330404129, 0330404121]",1
Without Warning,"Birmingham, John","Macmillan & Co Limited (2009), Edition: Reprint",2009,Paperback,,Your library,[033042498X],"[033042498X, 9780330424981]",1
Pearl Barley and Charlie Parsley,"Blabey, Aaron","Penguin Books Australia, Edition: 1st",?,Paperback,,Your library,[0143503073],"[0143503073, 9780143503071]",1
13 Steps To Evil: How To Craft A Superbad Villain Workbook (2) (Better Writers),"Black, Sacha","Atlas Black Publishing (2017), 174 pages",2017,Paperback,174 ,Your library,[1999722531],"[1999722531, 9781999722531]",1
"Blackthorn's Botanical Magic: The Green Witch’s Guide to Essential Oils for Spellcraft, Ritual & Healing","Blackthorn, Amy","Weiser Books (2018), 336 pages",2018,Paperback,336 ,Your library,[1578636302],"[1578636302, 9781578636303]",1
"Blackthorn's Botanical Brews: Herbal Potions, Magical Teas, Spirited Libations: Herbal Potions, Magical Teas, and Spirited Libations","Blackthorn, Amy","Red Wheel/Weiser (2020), 276 pages",2020,Hardcover,276 ,Your library,[1578637155],"[1578637155, 9781578637157]",1
"Eureka Seven: Psalms of Planets, Vol. 5",Bones,"Bandai Entertainment (2007), 190 pages",2007,Paperback,190 ,Your library,[1594097615],"[1594097615, 9781594097614]",1
Clade,"Bradley, James",Penguin Books Australia,,Paperback,,Your library,[192642865X],"[192642865X, 9781926428659]",1
Credo,"Bragg, Melvyn","Sceptre (1996), 757 pages",1996,Paperback,757 ,Your library,[0340666188],"[0340666188, 9780340666180]",1
Jane Eyre,"Bronte, Charlotte","Penguin Books (1965), 633 pages",1965,Paperback,633 ,Your library,[0140434003],"[0140434003, 9780140434002]",1
Wuthering Heights (Wordsworth Classics),"Bronte, Emily","Wordsworth Editions Ltd (1997), 272 pages",1997,Paperback,272 ,Your library,[1853260010],"[1853260010, 9781853260018]",1
Soul Eater,"Brookins, Dana","Futura Publications (1987), Edition: paperback / softback, 320 pages",1987,Paperback,320 ,Your library,[0708832636],"[0708832636, 9780708832639]",1
World War Z: An Oral History of the Zombie War,"Brooks, Max","Duckworth (2007), 334 pages",2007,Paperback,334 ,Your library,[9780715637036],"[9780715637036, 0715637037]",1
"Creativity: Psychoanalysis, Surrealism and Creative Writing","Brophy, Kevin","Melbourne University Publishing (1998), 256 pages",1998,Paperback,256 ,Your library,[0522847862],"[0522847862, 9780522847864]",1
Crystal Bliss: Attract Love. Feed Your Spirit. Manifest Your Dreams.,"Brown, Devi","Adams Media (2017), Edition: Illustrated, 240 pages",2017,Hardcover,240 ,Your library,[1507202601],"[1507202601, 9781507202609]",1
Creative Embroidery,"Brown, Pauline",HarperCollins Publishers (1987),1987,Paperback,,"Your library, Reference",[0004121643],"[0004121643, 9780004121642]",1
At Home: A short history of private life,"Bryson, Bill","Doubleday (2010), Edition: 01, 544 pages",2010,Hardcover,544 ,Your library,[0385608276],"[0385608276, 9780385608275]",1
Halo: Evolutions,"Buckell, Tobias","Tor Books (2009), Edition: First, 528 pages",2009,Paperback,528 ,Your library,[0765315734],"[0765315734, 9780765315731]",1
The Cole Protocol,"Buckell, Tobias S.","Tom Doherty Assoc (2009), Edition: Reprint, 358 pages",2009,Paperback,368 ,Your library,[0765354721],"[0765354721, 9780765354723]",1
A Clockwork Orange,"Burgess, Anthony","Penguin Classic (2000), Edition: 5th or later Edition, 176 pages",2000,Paperback,176 ,Your library,[0141182601],"[0141182601, 9780141182605]",1
The Thor Conspiracy,"Burkett, Larry","Thomas Nelson Publishers (2005), 336 pages",2005,Paperback,336 ,Your library,[1404185682],"[1404185682, 9781404185685]",1
The Arabian Nights,"Burton, Sir Richard","Canterbury Classics (2011), Edition: Reprint, 750 pages",2011,Paper Book,750 ,Your library,[1607103095],"[1607103095, 9781607103097]",1
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,by Randall Munroe,Hachette India (2014),2014,Paperback,,"Your library, Science/Math/Engineering",[184854958X],"[184854958X, 9781848549586]",1
The Children's Book,"Byatt, A. S.","Vintage Books USA (2010), 617 pages",2010,Paperback,624 ,Your library,[0099535459],"[0099535459, 9780099535454]",1
The Prose Edda: Tales from Norse Mythology (Penguin Classics),"Byock, Jesse","Penguin Classics (2005), Edition: Illustrated, 304 pages",2005,Paperback,304 ,Your library,[0140447555],"[0140447555, 9780140447552]",1
Confessions of a Bookseller,"Bythell, Shaun",Profile Books,,Hardcover,,Your library,[1788162307],"[1788162307, 9781788162302]",1
The Piano,"Campion, Jane","Bloomsbury Publishing (1994), 224 pages",1994,Paperback,224 ,Your library,[0747518297],"[0747518297, 9780747518297]",1
Xenocide: Volume Three of the Ender Saga,"Card, Orson Scott","Tor Books (1992), Edition: Reissue, 608 pages",1992,Paperback,608 ,Your library,[9780812509250],"[9780812509250, 0812509250]",1
Children of the Mind (The Ender Quintet),"Card, Orson Scott","Tor Science Fiction (1997), 384 pages",1997,Paperback,384 ,Your library,[0812522397],"[0812522397, 9780812522396]",1
Speaker for the Dead (The Ender Quintet),"Card, Orson Scott","Tor Books (1994), 382 pages",1994,Paperback,382 ,Your library,[0812550757],"[0812550757, 9780812550757]",1
Ender's Game (The Ender Quintet),"Card, Orson Scott","Tor Science Fiction (1994), 352 pages",1994,Paperback,352 ,Your library,[0812550706],"[0812550706, 9780812550702]",1
Ender's Shadow (Book 1 of the Shadow trilogy),"Card, Orson Scott",Orbit (2000),2000,Paperback,559 ,Your library,[1857239989],"[1857239989, 9781857239980]",1
Invasive Procedures: A Novel,"Card, Orson Scott","Tor Science Fiction (2008), Edition: 1st, 400 pages",2008,Paperback,400 ,Your library,[0765352826],"[0765352826, 9780765352828]",1
How to Write Science Fiction and Fantasy,"Card, Orson Scott","F&W (2005), Edition: New edition, 144 pages",2005,Paperback,144 ,Your library,[158297103X],"[158297103X, 9781582971032]",1
Obernewtyn,"Carmody, Isobelle",Penguin Group (Australia),,Paperback,,Your library,[0143204785],"[0143204785, 9780143204787]",1
"The Mask of Mirrors (Rook & Rose, 1)","Carrick, M. A.","Orbit (2021), 672 pages",2021,Paperback,672 ,Your library,[0316539678],"[0316539678, 9780316539678]",1
The Complete Illustrated Works of Lewis Carroll,"Carroll, Lewis","Chancellor Press (1984), Edition: Reprint, 864 pages",1984,Hardcover,864 ,Your library,[0907486215],"[0907486215, 9780907486213]",1
Scales of Empire,"Chan, Kylie",HarperCollins Publishers (Australia) Pty Ltd,,Paperback,,Your library,[1460753259],"[1460753259, 9781460753255]",1
Mobile Suit Gundam Seed Astray R 4,"Chiba, Tomohiro","Tokyopop (2005), 220 pages",2005,Paperback,220 ,Your library,[1595329978],"[1595329978, 9781595329974]",1
Gundam SEED ASTRAY R Volume 3,"Chiba, Tomohiro","TokyoPop (2005), 192 pages",2005,Paperback,192 ,Your library,[1595325786],"[1595325786, 9781595325785]",1
Gundam SEED ASTRAY R Volume 2 (Gundam (Tokyopop) (Graphic Novels)),"Chiba, Tomohiro","TokyoPop (2005), 192 pages",2005,Paperback,192 ,Your library,[1595325778],"[1595325778, 9781595325778]",1
The Sittaford Mystery,"Christie, Agatha",Pan Books (1980),1980,Paper Book,208 ,Your library,[0330104012],"[0330104012, 9780330104012]",1
Murder on the Orient Express,"Christie, Agatha","HarperCollins Publishers (1994), Edition: (Reissue), 240 pages",1994,Paperback,240 ,Your library,[0006170064],"[0006170064, 9780006170068]",1
Miss Marple's Final Cases and Others (The Christie Collection),"Christie, Agatha","HarperCollins Canada, Limited (1987), Edition: New Ed, 160 pages",1987,Paperback,160 ,Your library,[0006167950],"[0006167950, 9780006167952]",1
Death in the Clouds,"Christie, Agatha","Fontana (1974), 190 pages",1974,Paperback,190 ,Your library,[000613422X],"[000613422X, 9780006134220]",1
N or M ?,"Christie, Agatha","Pan Books (1959), Edition: First THUS",1959,Paperback,189 ,Your library,[0330295985],"[0330295985, 9780330295987]",1
Sparkling Cyanide,"Christie, Agatha",Pan Books (1978),1978,Paperback,189 ,Your library,[0330252364],"[0330252364, 9780330252362]",1
The Labours of Hercules,"Christie, Agatha",Fontana (1982),1982,Paperback,256 ,Your library,[0330027808],"[0330027808, 9780330027809]",1
They Do it with Mirrors,"Christie, Agatha",FONTANA (1980),1980,Paperback,185 ,Your library,[0006140742],"[0006140742, 9780006140740]",1
A Pocket Full Of Rye,"Christie, Agatha","Fontana (1980), 188 pages",1980,Paperback,188 ,Your library,[0006160867],"[0006160867, 9780006160861]",1
Death on the Nile (The Christie Collection),"Christie, Agatha","Fontana (1987), Edition: Masterpiece ed",1987,Paperback,,Your library,[0006168957],"[0006168957, 9780006168959]",1
4:50 From Paddington,"Christie, Agatha","Harpercollins (Mm) (1992), Edition: Masterpiece ed, 224 pages",1992,Paperback,224 ,Your library,[0006157629],"[0006157629, 9780006157625]",1
NEMESIS,"Christie, Agatha","Fontana (1974), Edition: paperback / softback",1974,Paperback,224 ,Your library,[0006170056],"[0006170056, 9780006170051]",1
Curtain: Poirot's Last Case (The Christie Collection),"Christie, Agatha","HARPERCOLLINS (1993), Edition: New Ed, 224 pages",1993,Paperback,224 ,Your library,[0006168000],"[0006168000, 9780006168003]",1
Poirot: Book One,"Christie, Agatha","Fontana Press (1992), 264 pages",1992,Paperback,264 ,Your library,[0006473016],"[0006473016, 9780006473015]",1
Agatha Christie's Poirot: Bk. 3,"Christie, Agatha","Fontana Press (1991), 192 pages",1991,Paperback,192 ,Your library,[0006470920],"[0006470920, 9780006470922]",1
Third Girl: A Hercule Poirot Mystery (Hercule Poirot Mysteries),"Christie, Agatha","William Morrow Paperbacks (2011), Edition: Reissue, 288 pages",2011,Paperback,288 ,Your library,[0062073761],"[0062073761, 9780062073761]",1
Hercule Poirot: The Complete Short Stories: A Hercule Poirot Collection with Foreword by Charles Todd (Hercule Poirot Mysteries),"Christie, Agatha","William Morrow Paperbacks (2013), Edition: Later Printing Used, 896 pages",2013,Paperback,896 ,Your library,[0062251678],"[0062251678, 9780062251671]",1
Elephants Can Remember,"Christie, Agatha",HarperCollins (1987),1987,Paperback,,Your library,[0006162649],"[0006162649, 9780006162643]",1
The Adventures of the Christmas Pudding,"Christie, Agatha","HarperCollins Publishers (1995), 224 pages",1995,Paperback,240 ,Your library,[0006168175],"[0006168175, 9780006168171]",1
A Cat Among the Pigeons (Agatha Christie Collection),"Christie, Agatha","HarperCollins Publishers Ltd (1995), 224 pages",1995,Paperback,224 ,Your library,[000616174X],"[000616174X, 9780006161745]",1
Why Didn't They Ask Evans? (The Christie Collection),"Christie, Agatha","HarperCollins Publishers Ltd (1996), Edition: New Ed, 224 pages",1996,Paperback,224 ,Your library,[0006166067],"[0006166067, 9780006166061]",1
"The Shaping of Middle-Earth : The Quenta, the Ambarkanta and the Annals: Together with the Earliest 'Silmarillion' and the First Map",Christopher J. R. R. Tolkien,"Unwin (1988), Edition: First Printing - First Thus, 400 pages",1988,Paperback,400 ,Your library,[0044401507],"[0044401507, 9780044401506]",1
2061: Odyssey Three,"Clarke, Arthur C","Pan (1999), Edition: (Reissue), 304 pages",1999,Paperback,304 ,Your library,[0586203192],"[0586203192, 9780586203194]",1
"Greetings, Carbon-Based Bipeds!: A Vision of the 20th Century As It Happened","Clarke, Arthur C.","HarperCollins Publishers (1999), Edition: 1ST, 576 pages",1999,Hardcover,576 ,Your library,[000224697X],"[000224697X, 9780002246972]",1
3001 : The Final Odyssey,"Clarke, Arthur C.","Harpercollins Pub Ltd (1997), Edition: New Ed, 288 pages",1997,Paperback,290 ,Your library,[0586066241],"[0586066241, 9780586066249]",1
2010 : Odyssey Two,"Clarke, Arthur C.","Harpercollins Pub Ltd (1997), Edition: New Ed, 304 pages",1997,Paperback,297 ,Your library,[9780586056998],"[9780586056998, 0586056998]",1
Project solar sail,"Clarke, Arthur C.","New York, N.Y. : Penguin, c1990.",1990,Paper Book,246 ,Your library,[0451450027],"[0451450027, 9780451450029]",1
Jonathan Strange and Mr Norrell,"Clarke, Susanna","Bloomsbury USA (2005), Edition: Reprint, 864 pages",2005,Paperback,846 ,Your library,[1582346038],"[1582346038, 9781582346038]",1
Ready Player One: The global bestseller and now a major Steven Spielberg movie,"Cline, Ernest","Arrow (2012), Edition: 01, 384 pages",2012,Paperback,384 ,Your library,[0099560437],"[0099560437, 9780099560432]",1
"The Alchemist, 25th Anniversary: A Fable About Following Your Dream","Coelho, Paulo","HarperOne (2014), Edition: Anniversary, 208 pages",2014,Paperback,208 ,Your library,[0062315005],"[0062315005, 9780062315007]",1
Terra Nullius,"Coleman, Claire G.","Hachette Australia (2017), 304 pages",2017,Paperback,304 ,Your library,[0733638317],"[0733638317, 9780733638312]",1
The Binding,"Collins, Bridget",,,Paperback,,Your library,[0008288593],"[0008288593, 9780008288594]",1
The Hunger Games : Adult Edition,"Collins, Suzanne","Scholastic (2011), Edition: 1, 448 pages",2011,Paperback,448 ,Your library,[1407132083],"[1407132083, 9781407132082]",1
The Hunger Games 2. Catching Fire,"Collins, Suzanne","Scholastic Ltd. (2011), Edition: 1, 472 pages",2011,Paperback,472 ,Your library,[1407132091],"[1407132091, 9781407132099]",1
Mockingjay: TikTok made me buy it! The third book in the international No.1 bestselling series (Hunger Games Trilogy 3),"Collins, Suzanne","Scholastic Fiction (2011), Edition: 1, 333 pages",2011,Ebook,,Your library,[1407132105],"[1407132105, 9781407132105]",1
"The Witch of Edmonton: By William Rowley, Thomas Dekker and John Ford (Revels Student Editions)","Corbin, Peter","Manchester University Press (1999), Edition: Revised ed., 160 pages",1999,Paperback,160 ,Your library,[0719052475],"[0719052475, 9780719052477]",1
Leviathan Wakes: Book 1 of the Expanse (now a Prime Original series),"Corey, James S. A.","Orbit (2012), Edition: 01, 592 pages",2012,Paperback,592 ,Your library,[1841499897],"[1841499897, 9781841499895]",1
"Nature's Gifts: Answers to Questions about Honey, Pollen, and all things Bees","Craig, A&S",,2020,Paperback,,"Your library, Read - keep, Gardening",,,1
Welcome to Night Vale: A Novel,"Cranor, Jeffrey","Little, Brown Book Group (2017), 416 pages",2017,Paperback,416 ,Your library,[0356504867],"[0356504867, 9780356504865]",1
"Mostly Void, Partially Stars: Welcome to Night Vale Episodes, Volume 1","Cranor, Jeffrey","Little, Brown Book Group (2016), 304 pages",2016,Paperback,304 ,Your library,[0356508609],"[0356508609, 9780356508603]",1
"20,000 Leagues Under the Sea","Crenna, Richard",(2018),2018,Streaming video,,Your library,,,1
Jurassic Park,"Crichton, Michael","Alfred A. Knopf, Inc. (1990), Edition: Limited First Edition, 640 pages",1990,Hardcover,640 ,Your library,[0091821347],"[0091821347, 9780091821340]",1
Encyclopaedia of Magical Herbs: 1 (Cunningham's Encyclopedia),"Cunningham, Scott","Llewellyn Publications,U.S. (2000), Edition: 2nd 2000 ed., 336 pages",2000,Paperback,336 ,Your library,[0875421229],"[0875421229, 9780875421223]",1
Matilda,"Dahl, Roald","Puffin (1989), 240 pages",1989,Paperback,240 ,Your library,[0140327592],"[0140327592, 9780140327595]",1
Boy: Tales of Childhood (Puffin Story Books),"Dahl, Roald","Puffin Books (2001), 176 pages",2001,Paperback,176 ,Your library,[014131141X],"[014131141X, 9780141311418]",1
Boy Swallows Universe (Limited Gift Edition),"Dalton, Trent",,,Hardcover,,Your library,[1460758366],"[1460758366, 9781460758366]",1
Roget's Thesaurus: Of English Words and Phrases,"Davidson, George","Penguin Group(CA) (2004), Edition: Revised ed., 848 pages",2004,Paperback,848 ,Read - Donate,[0140515038],"[0140515038, 9780140515039]",1
The Illustrated World of Tolkien: An Exquisite Reference Guide to Tolkien's World and the Artists his Vision Inspired,"Day, David","Pyramid (2019), Edition: 01, 288 pages",2019,Hardcover,288 ,Your library,[0753733803],"[0753733803, 9780753733806]",1
CAPTAIN CORELLI'S MANDOLIN,"De Bernières, Louis","VINTAGE (1995), Edition: First Paperback Edition, 544 pages",1995,Paperback,544 ,Your library,[0749397543],"[0749397543, 9780749397548]",1
The Cat in the Treble Clef,"De Bernières, Louis","Penguin Random House UK (2019), 128 pages",2019,Hardcover,128 ,Your library,[1787300188],"[1787300188, 9781787300187]",1
